,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,AFMC          ,18.506342,73.89050300000001,Royal Western Indian Turf Club,18.507032688189817,73.89064087616383,Racetrack
1,AFMC          ,18.506342,73.89050300000001,Race Course,18.506485139668143,73.89213375973637,Track Stadium
2,AFMC          ,18.506342,73.89050300000001,mongiri's,18.506277965718503,73.89386778710883,Cupcake Shop
3,Airport          ,18.578542000000002,73.908641,Pune Airport Arrival,18.57871751151574,73.90935547721332,Airport Service
4,Airport          ,18.578542000000002,73.908641,Relay Bookstore,18.579464,73.90868,Bookstore
5,Airport          ,18.578542000000002,73.908641,Mic Mac,18.579710543643447,73.90834803684969,Fast Food Restaurant
6,Airport          ,18.578542000000002,73.908641,Go Air Check In Counter,18.57863117424613,73.90885327595306,Airport Gate
7,Airport          ,18.578542000000002,73.908641,O2 Spa @ Pune International Airport,18.57992238947806,73.90869251819866,Spa
8,Airport          ,18.578542000000002,73.908641,Baker Street,18.57981,73.9088,Bakery
9,Airport          ,18.578542000000002,73.908641,Smoking lounge,18.58066785563443,73.9080954168067,Smoke Shop
10,Akurdi          ,18.646468,73.774262,Foodies Corner,18.647839383982145,73.77079317045967,Thai Restaurant
11,Akurdi          ,18.646468,73.774262,DTDC Couriers,18.6452284531244,73.77555142351918,Paper / Office Supplies Store
12,Akurdi          ,18.646468,73.774262,Sanjay Kale Ground,18.64631391679643,73.77131714689348,Playground
13,Akurdi          ,18.646468,73.774262,punesubji.com,18.64929482124146,73.77407312393188,Fruit & Vegetable Store
14,Akurdi          ,18.646468,73.774262,Jumboking Wadapav,18.649044807210053,73.77602253152021,Fast Food Restaurant
15,Ammunition Factory Khadki      ,18.567988,73.857668,State Bank of India ATM,18.569928,73.856792,ATM
16,Anandnagar          ,17.252763,74.175439,"Maharaj Mess (Koyna Vasahat, Karad)",17.256004669756663,74.17701961761297,Vegetarian / Vegan Restaurant
17,Armament          ,18.537086,73.795187,PASHAN CIRCLE BHAAJI MANDAI,18.53729932699879,73.79428572726806,Flea Market
18,Armament          ,18.537086,73.795187,Pashan circle sabji market,18.537706534903712,73.79510147111766,Farmers Market
